zone_name,horizon,n,baseline_mae,railcast_mae,simulator_mae,baseline_p90,railcast_p90,coverage_pct,width_min,improvement_pct
BRC-ST,1-3 h,315.0,26.154501044560575,6.763381515632201,6.681455916922238,90.1972730799867,20.26244032651796,83.17460317460318,23.428593612985843,74.14065936830862
BRC-ST,24 h +,1598.0,20.373959184904166,9.763338451927131,10.219231039029218,57.82623812332076,28.987432446005663,78.09762202753441,24.32706119099724,52.079326539727454
BRC-ST,3-8 h,863.0,30.671018861480665,10.384436245675968,10.069581637662097,93.16292747264826,27.303318785863446,79.25840092699885,27.686395782245718,66.1425129286538
BRC-ST,8-24 h,3503.0,31.316531814358928,11.022491586355493,10.926750667885372,96.3920868494149,29.966501471886538,79.96003425635169,31.090500663141356,64.80296205309179
BRC-ST,Next station (<1 h),236.0,11.979465429238271,3.923329725460902,4.206577068841735,33.97387826174179,10.740550698836273,88.98305084745762,17.766851612714444,67.24954257236526
KOTA-RTM,1-3 h,762.0,16.66701847337378,6.584288394558441,6.284156593802166,41.90238827636805,18.098155386004507,85.30183727034121,24.77242855110988,60.49510351790212
KOTA-RTM,24 h +,4345.0,12.050955067030868,6.322447472045149,5.777351497275142,27.58667789844094,16.155384697448504,83.8204833141542,16.072888128724017,47.53571449832911
KOTA-RTM,3-8 h,2118.0,23.190112676134138,10.967133484806562,10.90885518683429,58.11249981870941,27.484779621697623,79.03682719546742,31.130921341188934,52.70771799184368
KOTA-RTM,8-24 h,9558.0,24.875390393897465,10.226349294226996,9.643407276126617,67.88946682649969,26.246301483629175,79.77610378740322,26.059783262603784,58.889693257896504
KOTA-RTM,Next station (<1 h),386.0,9.450405566196114,4.097227668277307,5.236491258600784,22.16997308644477,10.191187773536058,81.60621761658031,16.33050015924874,56.64495412839214
NDLS-KOTA,1-3 h,804.0,12.284796326710676,6.57475889582775,6.515477976416722,33.11020285849501,17.689744158699483,82.58706467661692,18.111099117719363,46.4805217687465
NDLS-KOTA,24 h +,6810.0,39.16598153973256,14.605378666497147,14.55288163271314,134.68892954508155,40.98614374342493,76.57856093979441,36.621721902253405,62.70901917348737
NDLS-KOTA,3-8 h,2874.0,18.317270852495344,8.889449255344278,8.897395457006388,49.01009618026873,22.849384605636494,78.39248434237996,26.478658833337967,51.46957575214718
NDLS-KOTA,8-24 h,10920.0,41.13807902308814,18.392657631332533,19.070351224502296,119.27914345995526,49.47416839119018,75.22893772893772,46.81577454247119,55.29043147345328
NDLS-KOTA,Next station (<1 h),514.0,9.134191373057604,4.971645698914631,5.910768266273251,22.38053832889902,11.594181527846946,81.71206225680933,16.68510942488178,45.5710363855623
RTM-BRC,1-3 h,566.0,20.970933851638524,7.660739802958421,7.548913373796165,53.54316212075662,24.04566478095626,81.97879858657244,24.267894093759825,63.46972501484542
RTM-BRC,24 h +,3816.0,10.28907523675339,5.522428498171213,5.212921410093515,27.782692794030368,13.54172235183637,74.71174004192872,13.797405304681366,46.32726099188525
RTM-BRC,3-8 h,1735.0,34.2612854353939,10.932800490221005,10.119206041907216,112.44740044690106,29.83766495294076,81.3256484149856,30.26865490479494,68.08992905173726
RTM-BRC,8-24 h,8323.0,27.478874163767863,9.537109588261027,8.979460059151117,82.88194884074028,25.143273243859905,77.42400576715127,22.65143584910056,65.29293910870578
RTM-BRC,Next station (<1 h),455.0,10.84187189547554,5.666781350682249,6.721897619360845,28.471380574919166,13.260036523318297,86.37362637362638,18.930688489905116,47.732445049022644
ST-BCT,1-3 h,504.0,19.42890212903347,5.3332828297681,5.025127402780061,71.88854405482225,15.372091750224532,78.76984126984127,13.810562670559445,72.5497467929578
ST-BCT,24 h +,4205.0,22.661353715297192,9.270207657768905,9.092212455903553,55.99209226670536,27.105174496629015,77.33650416171226,24.35462685000184,59.092436514455905
ST-BCT,3-8 h,1687.0,14.234619289615763,5.5115101598884735,4.733314365971567,38.75662982400588,13.846984572232351,79.60877296976882,13.73168030486342,61.280944381075564
ST-BCT,8-24 h,6068.0,29.382146928434768,10.248450100036548,9.846244307349187,79.65851637829826,28.43042760705878,77.78510217534608,26.851564968959547,65.12014549175593
ST-BCT,Next station (<1 h),303.0,15.77405254136286,5.505948861484294,6.261146030074758,54.182036041332076,14.418011908382415,86.79867986798679,18.724803487964394,65.09489969653299
