to_code,sched_arr,baseline,railcast_arr,lo_arr,hi_arr,act_arr
GDA,1150.0,1300.9058757172334,1288.572166689217,1281.6638267146593,1297.758778066708,1294.6599492577873
DHD,1208.0,1358.9058757172334,1353.0109161897956,1345.5756683467466,1364.411432067754,1367.071074008748
MGN,1235.0,1385.9058757172334,1378.334139034026,1372.253413300408,1393.8479028928216,1397.8447123034498
RTM,1320.0,1470.9058757172334,1450.544958759487,1436.9947665047494,1474.2663376054852,1469.8969524419606
NAD,1403.0,1553.9058757172334,1510.4737137932539,1493.4397794497042,1541.3295869499536,1528.9975695875062
SGZ,1464.0,1614.9058757172334,1574.119546697346,1552.8024072048731,1601.0391573722934,1593.5116426760667
RMA,1508.0,1658.9058757172334,1619.5037514503538,1598.6047695884363,1647.0028599027335,1637.6479521176752
KOTA,1575.0,1725.9058757172334,1670.42422421908,1650.0625992788075,1696.8752161682737,1692.9085710093684
SWM,1668.0,1818.9058757172334,1753.9817727806412,1729.989430964988,1778.331095579164,1771.0909963804932
GGC,1718.0,1868.9058757172334,1826.2560854322105,1799.138114533511,1851.10240551566,1815.3861979190635
HAN,1750.0,1900.9058757172334,1873.1236847467592,1840.7198299519457,1893.4317018916615,1862.859821841593
BXN,1778.0,1928.9058757172334,1913.6991325165452,1882.577141362137,1931.7254358384575,1890.5457570833526
BTE,1813.0,1963.9058757172334,1958.5396880852077,1931.9340452771146,1977.7321771224028,1932.97304565336
MTJ,1905.0,2055.9058757172334,1999.2826707973652,1968.5826627380245,2025.2749217855296,1978.220967725235
FDB,2009.0,2159.9058757172334,2097.874806546432,2064.839216766167,2124.470847278711,2121.2746919538613
NZM,2043.0,2193.9058757172334,2114.8854768302117,2076.894711639002,2142.5967426132042,2151.5410817707457
NDLS,2080.0,2230.9058757172334,2124.040552711874,2089.5204160911276,2158.6637170848167,2159.204769684909
